uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,tagID,individualID,tagStatus,identificationHistoryID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,morphospeciesID,growthForm,shape,plantStatus,leafNumber,meanLeafLength,meanPetioleLength,meanBladeLength,basalStemDiameter,meanBasalDiameter,stemDiameter,stemLength,measurementHeight,maxCrownDiameter,ninetyCrownDiameter,height,baseCrownHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,canopyPosition,oldPadCount,newPadCount,stemCount,branchCount,meanBranchLength,remarks,measuredBy,recordedBy,dataEntryRecordID
"510aa55a-9713-4812-824d-19ab0454ada0","UNDE_037.basePlot.vst","2022-08-01","vst_UNDE_2022","D05","UNDE","UNDE_037","39_100",,"TEMP.PLA.NW.UNDE.2022.37419","notRequired",,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety",,,,"fern",,"Live",,,,,0.4,,,,0,,,,,,,,,,,,,,"0000-0002-3030-0990","0000-0002-8883-3677","47e2cc54-6b1e-4c95-ba3c-9b39a90b441e"
"34174196-de32-496c-8dc8-6ada0f8d9565","UNDE_037.basePlot.vst","2022-08-01","vst_UNDE_2022","D05","UNDE","UNDE_037","51_100",,"TEMP.PLA.NW.UNDE.2022.37322","notRequired",,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety",,,,"fern",,"Live",,,,,0.4,,,,0,,,,,,,,,,,,,,"0000-0002-2184-0637","0000-0002-1260-7286","105af5ac-6013-457c-8a60-ef3bfd433574"
"a3f35f9e-e085-4f05-9f70-752e6e02d955","UNDE_043.basePlot.vst","2022-08-01","vst_UNDE_2022","D05","UNDE","UNDE_043","24_10_2",,"TEMP.PLA.NW.UNDE.2022.43018","notRequired",,"OSCI","Osmunda cinnamomea L.","species",,,,"fern",,"Live",6,75.0,,,,,,,,,,,,,,,,,,,,,"0000-0002-3030-0990","0000-0002-8883-3677","3529e9e4-c10d-4da3-b178-70eae73243ba"
"aadea55a-cf47-43cf-bf31-822861edcc86","UNDE_043.basePlot.vst","2022-08-01","vst_UNDE_2022","D05","UNDE","UNDE_043","39_10_1",,"TEMP.PLA.NW.UNDE.2022.43398","notRequired",,"DRIN5","Dryopteris intermedia (Muhl. ex Willd.) A. Gray","species",,,,"fern",,"Live",11,57.0,,,,,,,,,,,,,,,,,,,,,"0000-0002-6190-2839","0000-0002-1260-7286","cda2101b-fe41-46e8-b5b7-601b8290d986"
"9d46fea2-72cf-4970-b748-c2f403c53e38","UNDE_037.basePlot.vst","2022-08-01","vst_UNDE_2022","D05","UNDE","UNDE_037","48_100",,"TEMP.PLA.NW.UNDE.2022.37638","notRequired",,"OSCI","Osmunda cinnamomea L.","species",,,,"fern",,"Live",5,84.0,,,,,,,,,,,,,,,,,,,,,"0000-0003-0290-2967","0000-0002-7943-392X","75a4662c-9d9e-49df-b04f-f470f3f553d1"
"3412eb62-71b4-4af3-b1c1-3175f1f2e49e","UNDE_037.basePlot.vst","2022-08-01","vst_UNDE_2022","D05","UNDE","UNDE_037","51_100",,"TEMP.PLA.NW.UNDE.2022.37327","notRequired",,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety",,,,"fern",,"Live",,,,,0.2,,,,0,,,,,,,,,,,,,,"0000-0002-2184-0637","0000-0002-1260-7286","24c781d9-2717-4363-9148-68e145ae1e76"
"4ba3a7d6-af70-497f-91f1-49a050912054","UNDE_037.basePlot.vst","2022-08-01","vst_UNDE_2022","D05","UNDE","UNDE_037","39_100",,"TEMP.PLA.NW.UNDE.2022.37609","notRequired",,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety",,,,"fern",,"Live, physically damaged",,,,,0.3,,,,0,,,,,,,,,,,,,"Missing pinnae","0000-0002-3030-0990","0000-0002-8883-3677","262fb39b-823c-494f-a56e-eecd9835fe69"
"fd7fe260-a685-4ca2-99c4-2a179c71711b","UNDE_037.basePlot.vst","2022-08-01","vst_UNDE_2022","D05","UNDE","UNDE_037","41_100",,"TEMP.PLA.NW.UNDE.2022.37622","notRequired",,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety",,,,"fern",,"Live, physically damaged",,,,,0.5,,,,0,,,,,,,,,,,,,"Missing fronds","0000-0003-0290-2967","0000-0002-7943-392X","4a66c95b-2c69-4d40-aa17-b2b1c7a76f96"
"de4d1a27-1c90-40d4-b70c-a3259fe2ec57","UNDE_037.basePlot.vst","2022-08-01","vst_UNDE_2022","D05","UNDE","UNDE_037","51_100",,"TEMP.PLA.NW.UNDE.2022.37386","notRequired",,"OSCI","Osmunda cinnamomea L.","species",,,,"fern",,"Live",4,81.0,,,,,,,,,,,,,,,,,,,,,"0000-0002-2184-0637","0000-0002-1260-7286","3ae9e08c-5cbf-4d75-9517-1674e3983b0d"
"6acd0cd6-3474-462c-a85e-a9565c1f5df8","UNDE_043.basePlot.vst","2022-08-01","vst_UNDE_2022","D05","UNDE","UNDE_043","48_10_3",,"TEMP.PLA.NW.UNDE.2022.43384","notRequired",,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety",,,,"fern",,"Live",,,,,0.4,,,,0,,,,,,,,,,,,,"Two snapped fronds.","0000-0003-0290-2967","0000-0002-7943-392X","f014f462-28d6-4c64-87b5-ea64061ee571"
"fcd35744-a888-4ea9-81cb-4cf1c0ec8f21","UNDE_043.basePlot.vst","2022-08-01","vst_UNDE_2022","D05","UNDE","UNDE_043","39_10_1",,"TEMP.PLA.NW.UNDE.2022.43515","notRequired",,"ATFI","Athyrium filix-femina (L.) Roth","species",,,,"fern",,"Live",5,44.0,,,,,,,,,,,,,,,,,,,,,"0000-0002-6190-2839","0000-0002-1260-7286","0e3e071d-6eb4-48e4-91e1-1a9c1fc1aabd"
